AppID,Name,Release date,Estimated owners,Required age,Price,DLC count,Supported languages,Windows,Mac,Linux,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever,Categories,Genres,Tags,Developer,Publisher
20200,Galactic Bowling,2008-10-21,0 - 20000,0,19.99,0,['English'],True,False,False,6,11,30,0,0,0,"Single-player,Multi-player,Steam Achievements,Partial Controller Support","Casual,Indie,Sports","['Indie', 'Casual', 'Sports']",Perpetual FX Creative,Perpetual FX Creative
655370,Train Bandit,2017-10-12,0 - 20000,0,0.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",True,True,False,53,5,12,0,0,0,"Single-player,Steam Achievements,Full controller support,Steam Leaderboards,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","['Indie', 'Action', 'Pixel Graphics']",Rusty Moyher,Wild Rooster
1355720,Henosis™,2020-07-23,0 - 20000,0,5.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",True,True,True,3,0,0,0,0,0,"Single-player,Full controller support","Adventure,Casual,Indie","['2D Platformer', 'Atmospheric', 'Surreal']",Odd Critter Games,Odd Critter Games
1139950,Two Weeks in Painland,2020-02-03,0 - 20000,0,0.0,0,"['English', 'Spanish - Spain']",True,True,False,50,8,17,0,0,0,"Single-player,Steam Achievements","Adventure,Indie","['Indie', 'Adventure', 'Nudity']",Unusual Games,Unusual Games
1469160,Wartune Reborn,2021-02-26,50000 - 100000,0,0.0,0,['English'],True,False,False,87,49,0,0,0,0,"Single-player,Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,In-App Purchases","Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy","['Turn-Based Combat', 'Massively Multiplayer', 'Multiplayer']",7Road,7Road
1659180,TD Worlds,2022-01-09,0 - 20000,0,10.99,1,"['English', 'Russian', 'Danish']",True,False,False,21,7,62,0,0,0,"Single-player,Steam Achievements,Steam Cloud","Indie,Strategy","['Tower Defense', 'Rogue-lite', 'RTS']",MAKSIM VOLKAU,MAKSIM VOLKAU
1178150,MazM: Jekyll and Hyde,2020-04-02,0 - 20000,0,14.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Korean']",True,False,False,76,6,25,0,0,0,"Single-player,Steam Achievements,Full controller support","Adventure,RPG,Simulation,Strategy","['Adventure', 'Simulation', 'RPG']",Growing Seeds,"CFK Co., Ltd."
320150,Deadlings: Rotten Edition,2014-11-11,50000 - 100000,0,3.99,0,"['English', 'Polish', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese', 'Russian', 'Japanese']",True,True,True,225,45,32,0,703,782,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure,Indie","['Action', 'Indie', 'Adventure']",ONE MORE LEVEL,ONE MORE LEVEL
1026420,WARSAW,2019-10-02,20000 - 50000,0,23.99,0,"['English', 'French', 'German', 'Polish', 'Russian']",True,False,False,589,212,34,427,67,93,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Remote Play on Tablet","Indie,RPG","['Tactical RPG', 'Turn-Based Strategy', 'Wargame']",Pixelated Milk,"Pixelated Milk,gaming company"
485000,Cthulhu Realms,2016-07-01,50000 - 100000,0,0.0,1,['English'],True,True,False,147,58,0,0,224,257,"Single-player,Multi-player,Shared/Split Screen,Cross-Platform Multiplayer,In-App Purchases,Remote Play Together",Strategy,"['Card Game', 'Strategy', 'Deckbuilding']","Wise Wizard Games, LLC","Wise Wizard Games, LLC"
1620060,Clockwork Dungeon,2021-08-27,0 - 20000,0,1.99,0,['English'],True,False,False,5,0,25,0,0,0,"Single-player,Steam Achievements","Casual,Indie","['Casual', 'Puzzle', '2D']",Beardlings LLC,Beardlings LLC
825930,Royal Battleships,2018-04-06,20000 - 50000,0,2.99,0,['English'],True,True,True,36,11,19,0,11,11,"Single-player,Steam Achievements,Steam Leaderboards","Casual,Indie","['Indie', 'Casual']",Educational Games,Educational Games
1454010,Diary of Lucie,2020-11-25,0 - 20000,0,12.99,0,"['English', 'Korean']",True,False,False,100,5,0,0,0,0,"Single-player,Partial Controller Support,Steam Cloud","Action,Adventure,Indie,RPG,Strategy,Early Access","['Action Roguelike', 'Action', 'Rogue-lite']",Parange Project,Parange Project
22670,Alien Breed 3: Descent,2010-11-17,200000 - 500000,0,9.99,0,"['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish - Spain']",True,False,False,349,134,13,285,44,24,"Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards",Action,"['Action', 'Shooter', 'Sci-fi']",Team17 Digital Ltd,Team17 Digital Ltd
